Title,Author,Gitenberg Status,Formatting Complexity,Formatting Notes,Gitenberg URL,Repo Cover,RTC 1st GEN,RTC 2nd GEN,RTC Other Gen,RTC Cover?,RTC Good Cover?,Need to Add to CAN Submit List,CAN REQUEST DATE,Notes,"Name in rtc/books.json, Official Name",ISBN 13,Tagged for ePUB gen Process (y/n)
Robinson Crusoe,Daniel Defoe,ASCIIDOC,,,https://github.com/GITenberg/The-Life-and-Adventures-of-Robinson-Crusoe_521,,X,,,YES,,,,,Robinson Crusoe,,
The Awakening,Kate Chopin,ASCIIDOC,,,https://github.com/GITenberg/The-Awakening-and-Selected-Short-Stories_160,,,,X,YES,,,,Ed ,The Awakening,,
The Jungle,Upton Sinclair,ASCIIDOC,,,https://github.com/GITenberg/The-Jungle_140,,X,,,YES,,,,,The Jungle,,
The Jungle Book,Rudyard Kipling,ASCIIDOC,,,https://github.com/GITenberg/The-Jungle-Book_236,,X,,,YES,,,,,The Jungle Book,,
The Metamorphosis,Franz Kafka,ASCIIDOC,,,https://github.com/GITenberg/Metamorphosis_5200,,X,,,YES,,,,,The Metamorphosis,,
The Picture of Dorian Gray,Oscar Wilde,ASCIIDOC,,,https://github.com/GITenberg/The-Picture-of-Dorian-Gray_174,,X,,,YES,,,,,Picture of Dorian Gray,,
The Red Badge of Courage,Stephen Crane,ASCIIDOC,,,https://github.com/GITenberg/The-Red-Badge-of-Courage_73,,,,X,YES,,,,,The Red Badge of Courage,,
The Scarlet Letter,Nathaniel Hawthorne,ASCIIDOC,,,https://github.com/GITenberg/The-Scarlet-Letter_33,,X,,,YES,,,,,The Scarlet Letter,,
The War of the Worlds,H. G. Wells,ASCIIDOC,,,https://github.com/GITenberg/The-War-of-the-Worlds_36,,X,,,YES,,,,,War of the Worlds,,
The Wonderful Wizard of Oz,L. Frank Baum,ASCIIDOC,EASY,Didn't see any italics. One quote for LET DORTHY GO TO CITY OF EMERALDS,https://github.com/GITenberg/The-Wonderful-Wizard-of-Oz_55,,X,,,YES,,,,,The Wonderful Wizard of Oz,,
This Side of Paradise,F. Scott Fitzgerald,ASCIIDOC,,,https://github.com/GITenberg/This-Side-of-Paradise_805,,X,,,YES,,,,,This Side of Paradise,,
Anna Karenina,Leo Tolstoy,ASCIIDOC,,,https://github.com/GITenberg/Anna-Karenina_1399,,X,,,YES,,,,,Anna Karenina,,
